match_id,slug
12002061,quarterfinal
12002064,quarterfinal
12002065,quarterfinal
12002066,semifinal
12002067,semifinal
12002068,quarterfinal
12002072,semifinal
12017513,round-of-16
12017514,round-of-16
12018899,round-of-16
12019043,round-of-16
12019658,round-of-16
12020048,round-of-16
12021538,round-of-16
12021658,round-of-16
12022282,round-of-16
12022321,round-of-16
12022492,round-of-16
12022526,round-of-16
12022528,round-of-16
12022562,round-of-16
12022672,round-of-16
12022675,round-of-16
12022685,round-of-16
12022703,round-of-16
12022718,round-of-16
12022727,round-of-16
12022801,round-of-16
12022802,round-of-16
12023335,quarterfinal
12023340,quarterfinal
12023461,quarterfinal
12023462,quarterfinal
12023465,quarterfinal
12023470,quarterfinal
12024064,quarterfinal
12024149,quarterfinal
12024225,quarterfinal
12024226,quarterfinal
12024236,quarterfinal
12024243,quarterfinal
12024245,quarterfinal
12024248,quarterfinal
12024249,quarterfinal
12024252,quarterfinal
12024254,quarterfinal
12024307,quarterfinal
12024308,quarterfinal
12024355,quarterfinal
12024356,quarterfinal
12024365,quarterfinal
12024371,quarterfinal
12024430,quarterfinal
12024431,quarterfinal
12024435,quarterfinal
12024440,quarterfinal
12024489,quarterfinal
12024550,quarterfinal
12024572,quarterfinal
12024628,quarterfinal
12024632,quarterfinal
12024644,quarterfinal
12024645,quarterfinal
12024652,quarterfinal
12024769,quarterfinal
12024782,quarterfinal
12024794,quarterfinal
12024913,quarterfinal
12025016,quarterfinal
12025030,quarterfinal
12025044,quarterfinal
12025056,quarterfinal
12025057,quarterfinal
12025061,quarterfinal
12025067,quarterfinal
12025085,quarterfinal
12025133,quarterfinal
12025142,quarterfinal
12025144,quarterfinal
12025149,quarterfinal
12025174,quarterfinal
12025679,semifinal
12025752,semifinal
12025849,semifinal
12026470,semifinal
12026623,semifinal
12026792,semifinal
12026797,semifinal
12026987,semifinal
12027048,semifinal
12027148,semifinal
12027491,semifinal
12027494,semifinal
12027539,semifinal
12027547,semifinal
12027611,semifinal
12027640,qualification-round-1
12027641,qualification-round-1
12027643,qualification-round-1
12027644,qualification-round-1
12027645,qualification-round-1
12027646,qualification-round-1
12027647,qualification-round-1
12027648,qualification-round-1
12027649,qualification-round-1
12027651,qualification-round-1
12027652,qualification-round-1
12027653,semifinal
12027654,qualification-round-1
12027665,qualification-round-1
12027666,qualification-round-1
12027667,qualification-round-1
12027668,qualification-round-1
12027669,qualification-round-1
12027672,qualification-round-1
12027673,qualification-round-1
12027674,qualification-round-1
12027677,qualification-round-1
12027678,qualification-round-1
12027679,qualification-round-1
12027680,qualification-round-1
12027950,semifinal
12027973,qualification-round-1
12027974,qualification-round-1
12027975,qualification-round-1
12027978,qualification-round-1
12027980,qualification-round-1
12027981,qualification-round-1
12027982,qualification-round-1
12027984,qualification-round-1
12028146,semifinal
12028542,semifinal
12029656,qualification-round-1
12029664,qualification-round-1
12038683,semifinal
12038684,semifinal
12038726,semifinal
11998452,quarterfinal
11998453,quarterfinal
11998454,quarterfinal
11998456,quarterfinal
11998457,semifinal
11998458,semifinal
11998663,final
11998664,semifinal
11998673,semifinal
11998775,semifinal
11998776,quarterfinal
11998777,quarterfinal
11998778,semifinal
11998779,quarterfinal
11998781,quarterfinal
11999006,quarterfinal
11999008,semifinal
11999014,quarterfinal
11999015,quarterfinal
11999016,final
11999018,semifinal
11999019,quarterfinal
11999206,quarterfinal
