match_id,player_id,full_name,current_rank
12021493,288465,"Tabacco, Fausto",494
12021494,232660,"Ševčíková, Linda",1025
12021502,81275,"Gutierrez, Oscar Jose",892
12021503,330085,"Popovic, Stefan",536
12021508,93589,"Kellovský, Dominik",741
12021512,136042,"Fritz, Taylor",10
12021516,195840,"Korda, Sebastian",33
12021518,280837,"Inoue, Hina",480
12021519,296802,"Visker, Niels",672
12021521,154744,"Lee, Eunhye",716
12021522,400489,"Tsitsipas, Pavlos",1240
12021530,63220,"Ponchet, Jessika",146
12021532,222183,"Saigo, Rina",401
12021538,100341,"Bolkvadze, Mariam",363
12021558,36300,"Travaglia, Stefano",188
12021562,234320,"Aikawa, Mayuka",589
12021566,64315,"Kuwata, Hiroko",532
12021581,243962,"Galimardanov, Oscar",1432
12021589,158636,"Prisăcariu, Andreea",319
12021590,114885,"Nikles, Johan",1023
12021599,190208,"Portillo Ramirez, Maria Jose",662
12021601,16192,"Marchenko, Illya",226
12021605,354634,"Palicova, Barbora",324
12021622,100097,"Moroni, Gian Marco",645
12021623,412849,"Dencheva, Rositsa",875
12021624,165198,"Oetzbach, Adrian",558
12021658,92442,"Fett, Jana",182
12021659,369288,"Tabacco, Giorgio",708
12021806,237568,"Bartone, Kamilla",752
12021807,202572,"Gengel, Marek",577
12021848,297953,"Klimovicova, Linda",342
12022185,394380,"Eriksson, Sebastian",1334
12022248,340742,"Bertrand, Robin",445
12022250,460257,"Ghazouani Durand, Yanis",1053
12022251,177686,"Barranco Cosano, Javier",300
12022262,387966,"Munk Mortensen, Rebecca",616
12022282,217883,"Decamps, Gabriel",688
12022295,382361,"Kukasian, Artur",1160
12022305,351300,"Pawelski, Martyn",516
12022321,348712,"Radivojevic, Lola",331
12022327,207654,"Tubello, Alice",606
12022336,290001,"Iordache, Alexandra",1109
12022371,199408,"Jorge, Francisca",199
12022396,228644,"Pogosian, Sergei",1183
12022430,275530,"Jacquemot, Elsa",162
12022438,373035,"Van Impe, Amelie",476
12022439,333518,"Pfeifer, Lara",849
12022452,318710,"Laskevich, Evialina",694
12022492,334273,"Avdeeva, Julia",204
12022513,58423,"Stevanović, Natalija",185
12022525,393344,"Arutiunian, Erik",812
12022526,373201,"Alimli, Mikail",1324
12022527,234309,"Wong, Hong Yi Cody",410
12022528,336308,"Salkova, Dominika",209
12022562,165866,"Miyazaki, Yuriko Lily",177
12022672,65656,"Ferro, Fiona",141
12022674,94747,"Hoang, Antoine",506
12022675,275105,"Bouzas Maneiro, Jessica",124
12022680,236833,"Romero Gormaz, Leyre",282
12022685,111879,"Fung, Stacey",222
12022703,130628,"Miroshnichenko, Veronica",303
12022718,75281,"Peterson, Rebecca",202
12022727,377065,"Hovde, Liv",292
12022801,118526,"Wolff, Vivian",364
12022802,51315,"Anderson, Robin",347
12023335,256081,"Hosogi, Sakura",441
12023340,224033,"Naito, Yuki",391
12023348,420969,"Kriznik, Matic",1279
12023350,384145,"Dominko, Sebastian",1106
12023352,238147,"Henning, Philip",745
12023353,156826,"van Wyk, Kris",414
12023361,241718,"Erel, Yanki",336
12023362,53183,"Ilkel, Cem",318
12023461,52533,"Jakupovic, Dalila",214
12023462,87834,"Hon, Priscilla",170
12023465,58267,"Radanović, Dejana",243
12023470,376006,"Joint, Maya",336
12024041,158896,"Hurkacz, Hubert",8
12024043,342835,"Kasnikowski, Maks",253
12024064,293868,"Kudermetova, Polina",158
12024149,327924,"Eala, Alexandra",180
12024232,59281,"Nishioka, Yoshihito",82
12024235,157302,"Watanuki, Yosuke",126
12024236,126402,"Denolly, Corentin",442
12024243,329533,"Vilicich, Bautista",819
12024248,165198,"Oetzbach, Adrian",558
12024249,330085,"Popovic, Stefan",536
12024252,107429,"Turati, Anna",570
12024254,202572,"Gengel, Marek",577
12024307,412849,"Dencheva, Rositsa",875
12024308,177686,"Barranco Cosano, Javier",300
12024356,296802,"Visker, Niels",672
12024368,145112,"Huesler, Marc-Andrea",199
12024386,26203,"Gomez, Emilio",544
12024387,269909,"Guillen Meza, Alvaro",294
12024430,342875,"Pavlova, Kira",462
12024431,158636,"Prisăcariu, Andreea",319
12024440,63220,"Ponchet, Jessika",146
12024550,232459,"Hindova, Denisa",623
12024572,236833,"Romero Gormaz, Leyre",282
12024628,238867,"Ovcharenko, Oleksandr",788
12024632,350691,"Szajrych, Jasza",891
12024643,197516,"Eubanks, Christopher",34
12024644,199408,"Jorge, Francisca",199
12024645,100097,"Moroni, Gian Marco",645
12024652,351300,"Pawelski, Martyn",516
12024769,267576,"Bouquier, Arthur",612
12024782,277187,"Abbagnato, Anastasia",526
12024913,348712,"Radivojevic, Lola",331
12025016,130624,"Gasanova, Anastasia",473
12025030,92442,"Fett, Jana",182
12025056,75281,"Peterson, Rebecca",202
12025057,275105,"Bouzas Maneiro, Jessica",124
12025085,230344,"Oberleitner, Neil",586
12025144,168526,"Appleton, Emily",407
12025672,241718,"Erel, Yanki",336
11998445,192013,"Auger-Aliassime, Felix",30
11998446,273680,Flavio Cobolli,69
11998447,77223,"Martinez, Pedro",101
11998452,273680,Flavio Cobolli,69
11998453,192013,"Auger-Aliassime, Felix",30
11998454,131442,"Mmoh, Michael",122
11998456,163480,"Bublik, Alexander",23
11998459,264358,"Llamas Ruiz, Pablo",151
11998664,46390,"Uchiyama, Yasutaka",248
11998666,66874,"Imai, Shintaro",644
11998667,80665,"Polmans, Marc",168
11998670,58369,"Bolt, Alex",262
11998671,233126,"Sweeny, Dane",202
11998673,66874,"Imai, Shintaro",644
11998772,52276,"Krueger, Mitchell",293
