match_id,player_id,gender
11998445,192013,M
11998446,273680,M
11998447,77223,M
11998448,88992,M
11998449,248846,M
11998450,163480,M
11998451,67154,M
11998456,163480,M
11998459,264358,M
11998666,66874,M
11998667,80665,M
11998670,58369,M
11998671,233126,M
11998672,299481,M
11998674,387400,M
11998675,79467,M
11998676,233126,M
11998772,52276,M
11998774,251784,M
11998780,77007,M
11998782,71950,M
11998783,36595,M
11998784,255993,M
11998785,210490,M
11998786,386194,M
11999004,235576,M
11999005,62404,M
11999007,300293,M
11999009,47767,M
11999010,255449,M
11999011,55067,M
11999012,51345,M
11999013,209103,M
11999014,51345,M
11999209,196122,M
11999210,377489,M
11999211,69500,M
11999212,163528,M
11999213,315774,M
11999215,298057,M
11999219,144102,M
11999220,76515,M
12002040,45584,F
12002041,318574,F
12002042,19520,F
12002043,52025,F
12002044,45545,F
12002048,67759,F
12002049,264980,F
12002050,50641,F
12002051,206568,F
12002052,62924,F
12002053,110055,F
12002055,252168,F
12002057,97995,F
12002058,45545,F
12002060,256104,F
12002064,45584,F
12002065,50641,F
12002068,67759,F
12010829,14844,M
12010830,62790,M
12011297,36300,M
12011301,157808,M
12011306,16192,M
12014547,72376,F
12016976,336222,F
12017442,284048,F
12017453,276310,F
12017455,179262,M
12017458,223484,M
12017459,351300,M
12017462,129430,F
12017463,398073,M
12017464,336308,F
12017465,215166,F
12017468,204755,F
12017473,275105,F
12017480,407382,M
12017483,186885,M
12017495,326524,M
12017501,94747,M
12017504,223130,F
12017505,51943,F
12017510,73500,F
12017511,280202,F
12017513,248329,F
12017514,248326,F
12017517,275530,F
12017520,88318,F
12017522,103375,F
12017523,75281,F
12017526,245059,F
12017528,333518,F
12017533,293708,F
12017648,256081,F
12017656,87834,F
12018083,52533,F
12018812,186885,M
12018833,289156,F
12018836,371934,F
12018842,393344,M
12018844,350691,M
12018847,223484,M
12018857,220540,M
12018899,308404,F
12018932,348712,F
12018933,335085,F
12018934,256098,F
12018937,136302,F
12018939,342875,F
12018941,284061,F
12018944,314836,F
12018945,234309,F
12019043,197546,M
12019094,115463,M
12019105,228662,M
12019106,262905,M
12019658,399603,M
12019673,451884,F
12019677,192987,F
12019755,255128,F
12019899,372309,F
12019944,91916,F
12019945,134342,F
12019949,334273,F
12019979,230344,M
12020048,297368,F
12020068,422838,F
12020069,377065,F
12020071,479888,F
12020072,111879,F
12020073,98607,F
12020074,408819,F
12020075,248326,F
12020509,406665,F
12020510,134532,F
12020513,390973,F
12020532,321792,F
12020544,216008,F
12020555,147506,F
12020624,231597,F
12020718,327924,F
