match_id,player_id,full_name,current_rank
12021434,207065,"Shimizu, Eri",479
12021435,72634,"Ozeki, Michika",788
12021442,238867,"Ovcharenko, Oleksandr",788
12021451,215719,"Brigida, Omar",1180
12021493,342909,"Simakin, Ilia",650
12021494,284553,"Zolotareva, Anastasia",740
12021502,425525,"Cadenasso, Gianluca",1064
12021503,217150,"Polukhin, Savva",1404
12021508,338890,"Merida Aguilar, Daniel",401
12021512,339443,"Bielinskyi, Viacheslav",499
12021516,232615,"Krutykh, Oleksii",392
12021518,300989,"Komano, Margaux",1266
12021519,396821,"Zhukov, Maxim",943
12021521,265670,"Stagno, Beatrice",1018
12021522,280123,Perfetti Noah,1331
12021530,248273,"Rouvroy, Margaux",269
12021532,369438,"Todoni, Anca Alexia",228
12021538,192406,"Shalimova, Ekaterina",690
12021539,217835,"Iannaccone, Federico",531
12021558,65606,"Agamenone, Franco",200
12021562,420979,"Zhiyenbayeva, Sonja",1230
12021566,301521,"Kawagishi, Nana",808
12021581,326246,"Sharipov, Marat",354
12021589,329139,"Jaskova, Anika",751
12021590,269873,"Hamza Reguig, Samir",848
12021599,400491,"Safta, Anastasia",810
12021601,57155,"Jorda Sanchis, David",326
12021605,48318,"Martincova, Tereza",155
12021622,326110,"Marino, Pietro",827
12021623,371052,"El Aouni, Aya",784
12021624,253366,"Salomone, Federico",1442
12021658,263653,"Erjavec, Veronika",190
12021659,339765,"Kudriashov, Igor",963
12021806,383652,"Pridankina, Elena",327
12021807,247858,"Donders, Dax",999
12021848,130624,"Gasanova, Anastasia",473
12022185,215205,"Zhu, Michael",862
12022248,311586,"Agafonov, Egor",584
12022250,194136,"Kivattsev, Kirill",497
12022262,362567,"Smejkalova, Amelie",851
12022282,377363,"Serafini, Marcello",470
12022295,212809,"Parker, Stuart",675
12022305,95939,"Whitehouse, Mark",845
12022321,62000,"Kan, Victoria",791
12022327,118052,"Öz, İpek",234
12022336,451884,"Roura Llaverias, Ruth",856
12022371,268808,"Radišić, Nika",388
12022396,266466,"Khamis, Yusuf",1493
12022430,256533,"Curmi, Francesca",310
12022438,198121,"Maristany Zuleta De Reales, Guiomar",261
12022452,342875,"Pavlova, Kira",462
12022453,204764,"Berrettini, Jacopo",482
12022492,64968,"Dodin, Océane",82
12022513,277187,"Abbagnato, Anastasia",526
12022525,179262,"Liaonenka, Aliaksandr",777
12022526,326524,"Pecci, Alessandro",781
12022527,335085,"Khomutsianskaya, Daria",660
12022528,155556,"Bulgaru, Miriam Bianca",194
12022562,88318,"Albie, Audrey",447
12022672,168526,"Appleton, Emily",407
12022674,256756,"Lane, Lewie",712
12022675,223563,"Hamaliy, Elizabet",1191
12022680,256098,"Karunaratne, Adithya",489
12022685,280202,"Sieg, Madison",334
12022703,233214,"Kessler, McCartney",120
12022718,108621,"Kempen, Magali",313
12022727,479888,"Ionescu, Elizabeth",1077
12022801,141892,"Carlé, María Lourdes",101
12022802,51943,"Strakhova, Valeriya",257
12023335,297194,"Ito, Aoi",293
12023340,406665,"Saito, Sara",244
12023348,75813,"Zhang, Zhizhen",46
12023350,450685,"Zhou, Yi",900
12023352,81041,"Ly, Hoang Nam",550
12023353,138966,"Trinh, Linh Giang",1340
12023361,17046,"Statham, Rubin",503
12023362,257637,"Pannu, Kiranpal",706
12023461,231597,"Imamura, Saki",451
12023462,238275,"Sawangkaew, Mananchaya",238
12023465,221362,"Monnet, Carole",192
12023470,138452,"Shibahara, Ena",415
