match_id,player_id,full_name
12021521,154744,"Lee, Eunhye"
12021522,400489,"Tsitsipas, Pavlos"
12021530,63220,"Ponchet, Jessika"
12021532,222183,"Saigo, Rina"
12021538,100341,"Bolkvadze, Mariam"
12021558,36300,"Travaglia, Stefano"
12021562,234320,"Aikawa, Mayuka"
12021566,64315,"Kuwata, Hiroko"
12021581,243962,"Galimardanov, Oscar"
12021589,158636,"Prisăcariu, Andreea"
12021590,114885,"Nikles, Johan"
12021599,190208,"Portillo Ramirez, Maria Jose"
12021601,16192,"Marchenko, Illya"
12021605,354634,"Palicova, Barbora"
12021622,100097,"Moroni, Gian Marco"
12021623,412849,"Dencheva, Rositsa"
12021624,165198,"Oetzbach, Adrian"
12021658,92442,"Fett, Jana"
12021659,369288,"Tabacco, Giorgio"
12021806,237568,"Bartone, Kamilla"
12021807,202572,"Gengel, Marek"
12021848,297953,"Klimovicova, Linda"
12022185,394380,"Eriksson, Sebastian"
12022248,340742,"Bertrand, Robin"
12022250,460257,"Ghazouani Durand, Yanis"
12022251,177686,"Barranco Cosano, Javier"
12022262,387966,"Munk Mortensen, Rebecca"
12022282,217883,"Decamps, Gabriel"
12022295,382361,"Kukasian, Artur"
12022305,351300,"Pawelski, Martyn"
12022321,348712,"Radivojevic, Lola"
12022327,207654,"Tubello, Alice"
12022336,290001,"Iordache, Alexandra"
12022371,199408,"Jorge, Francisca"
12022396,228644,"Pogosian, Sergei"
12022430,275530,"Jacquemot, Elsa"
12022438,373035,"Van Impe, Amelie"
12022439,333518,"Pfeifer, Lara"
12022452,318710,"Laskevich, Evialina"
12022492,334273,"Avdeeva, Julia"
12022513,58423,"Stevanović, Natalija"
12022525,393344,"Arutiunian, Erik"
12022526,373201,"Alimli, Mikail"
12022527,234309,"Wong, Hong Yi Cody"
12022528,336308,"Salkova, Dominika"
12022562,165866,"Miyazaki, Yuriko Lily"
12022672,65656,"Ferro, Fiona"
12022674,94747,"Hoang, Antoine"
12022675,275105,"Bouzas Maneiro, Jessica"
12022680,236833,"Romero Gormaz, Leyre"
12022685,111879,"Fung, Stacey"
12022703,130628,"Miroshnichenko, Veronica"
12022718,75281,"Peterson, Rebecca"
12022727,377065,"Hovde, Liv"
12022801,118526,"Wolff, Vivian"
12022802,51315,"Anderson, Robin"
12023335,256081,"Hosogi, Sakura"
12023340,224033,"Naito, Yuki"
12023348,420969,"Kriznik, Matic"
12023350,384145,"Dominko, Sebastian"
12023352,238147,"Henning, Philip"
12023353,156826,"van Wyk, Kris"
12023361,241718,"Erel, Yanki"
12023362,53183,"Ilkel, Cem"
12023461,52533,"Jakupovic, Dalila"
12023462,87834,"Hon, Priscilla"
12023465,58267,"Radanović, Dejana"
12023470,376006,"Joint, Maya"
12024041,158896,"Hurkacz, Hubert"
12024043,342835,"Kasnikowski, Maks"
12024064,293868,"Kudermetova, Polina"
12024149,327924,"Eala, Alexandra"
12024232,59281,"Nishioka, Yoshihito"
12024235,157302,"Watanuki, Yosuke"
12024236,126402,"Denolly, Corentin"
12024243,329533,"Vilicich, Bautista"
12024248,165198,"Oetzbach, Adrian"
12024249,330085,"Popovic, Stefan"
12024252,107429,"Turati, Anna"
12024254,202572,"Gengel, Marek"
12024307,412849,"Dencheva, Rositsa"
12024308,177686,"Barranco Cosano, Javier"
12024356,296802,"Visker, Niels"
12024368,145112,"Huesler, Marc-Andrea"
12024386,26203,"Gomez, Emilio"
12024387,269909,"Guillen Meza, Alvaro"
12024430,342875,"Pavlova, Kira"
12024431,158636,"Prisăcariu, Andreea"
12024440,63220,"Ponchet, Jessika"
12024550,232459,"Hindova, Denisa"
12024572,236833,"Romero Gormaz, Leyre"
12024628,238867,"Ovcharenko, Oleksandr"
12024632,350691,"Szajrych, Jasza"
12024643,197516,"Eubanks, Christopher"
12024644,199408,"Jorge, Francisca"
12024645,100097,"Moroni, Gian Marco"
12024652,351300,"Pawelski, Martyn"
12024769,267576,"Bouquier, Arthur"
12024782,277187,"Abbagnato, Anastasia"
12024913,348712,"Radivojevic, Lola"
12025016,130624,"Gasanova, Anastasia"
12025030,92442,"Fett, Jana"
12025056,75281,"Peterson, Rebecca"
12025057,275105,"Bouzas Maneiro, Jessica"
12025085,230344,"Oberleitner, Neil"
12025144,168526,"Appleton, Emily"
12025672,241718,"Erel, Yanki"
11998445,192013,"Auger-Aliassime, Felix"
11998446,273680,Flavio Cobolli
11998447,77223,"Martinez, Pedro"
11998452,273680,Flavio Cobolli
11998453,192013,"Auger-Aliassime, Felix"
11998454,131442,"Mmoh, Michael"
11998456,163480,"Bublik, Alexander"
11998459,264358,"Llamas Ruiz, Pablo"
11998664,46390,"Uchiyama, Yasutaka"
11998666,66874,"Imai, Shintaro"
11998667,80665,"Polmans, Marc"
11998670,58369,"Bolt, Alex"
11998671,233126,"Sweeny, Dane"
11998673,66874,"Imai, Shintaro"
11998772,52276,"Krueger, Mitchell"
11998776,36595,"Kudla, Denis"
11998777,63642,"Kwiatkowski, Thai-Son"
11998779,290569,"Vandecasteele, Quinn"
11998780,77007,"Kozlov, Stefan"
11998781,210490,"Kypson, Patrick"
11998784,255993,"Trotter, James Kent"
11998786,386194,"Brady, Patrick"
11999004,235576,"Nakashima, Brandon"
11999005,62404,"Otte, Oscar"
11999006,235576,"Nakashima, Brandon"
11999007,300293,"Rehberg, Max Hans"
11999009,47767,"Lamasine, Tristan"
11999011,55067,"Marie, Jules"
11999014,51345,"Damm Jr, Martin"
11999015,197446,"Naw, Hazem"
11999018,36300,"Travaglia, Stefano"
11999019,209103,"Molleker, Rudolf"
11999206,264978,"Pucinelli de Almeida, Matheus"
11999207,69500,"Mager, Gianluca"
11999208,76515,"Gakhov, Ivan"
11999211,69500,"Mager, Gianluca"
11999212,163528,"Lavagno, Edoardo"
11999213,315774,"Torres, Juan Bautista"
11999214,196122,"Ugo Carabelli, Camilo"
11999219,144102,"Weis, Alexander"
12002041,318574,"Bai, Zhuoxuan"
12002049,264980,"Cocciaretto, Elisabetta"
12002050,50641,"Vekić, Donna"
12002051,206568,"Burel, Clara"
12002053,110055,"Bronzetti, Lucia"
12002055,252168,"Tauson, Clara"
12002057,97995,"Gálfi, Dalma"
12002058,45545,"Putintseva, Yulia"
12002059,172590,"Burrage, Jodie"
12002060,256104,"Volynets, Katie"
12002061,19546,"Pavlyuchenkova, Anastasia"
12002064,45584,"Zhu, Lin"
12002065,50641,"Vekić, Donna"
12002066,227431,"Wang, Xinyu"
12002067,45584,"Zhu, Lin"
12002068,67759,"Alexandrova, Ekaterina"
12002072,67759,"Alexandrova, Ekaterina"
12017513,248329,"Hu, Victoria"
12017514,248326,"Baptiste, Hailey"
12018899,308404,"Schunk, Nastasja Mariana"
12019043,197546,"Salle, Fabien"
12019658,399603,"Romano, Filippo"
12020048,297368,"Montgomery, Robin"
12021512,136042,"Fritz, Taylor"
12021514,136042,"Fritz, Taylor"
12021515,195840,"Korda, Sebastian"
12021516,195840,"Korda, Sebastian"
12021538,100341,"Bolkvadze, Mariam"
12021658,92442,"Fett, Jana"
12022282,217883,"Decamps, Gabriel"
12022321,348712,"Radivojevic, Lola"
12022492,334273,"Avdeeva, Julia"
12022526,373201,"Alimli, Mikail"
12022528,336308,"Salkova, Dominika"
12022562,165866,"Miyazaki, Yuriko Lily"
12022672,65656,"Ferro, Fiona"
12022675,275105,"Bouzas Maneiro, Jessica"
12022685,111879,"Fung, Stacey"
12022703,130628,"Miroshnichenko, Veronica"
12022718,75281,"Peterson, Rebecca"
12022727,377065,"Hovde, Liv"
12022801,118526,"Wolff, Vivian"
12022802,51315,"Anderson, Robin"
12023335,256081,"Hosogi, Sakura"
12023340,224033,"Naito, Yuki"
12023348,420969,"Kriznik, Matic"
12023349,420969,"Kriznik, Matic"
12023350,384145,"Dominko, Sebastian"
12023351,384145,"Dominko, Sebastian"
12023352,238147,"Henning, Philip"
12023353,156826,"van Wyk, Kris"
12023355,156826,"van Wyk, Kris"
12023356,238147,"Henning, Philip"
12023358,53183,"Ilkel, Cem"
12023359,241718,"Erel, Yanki"
12023361,241718,"Erel, Yanki"
12023362,53183,"Ilkel, Cem"
12023461,52533,"Jakupovic, Dalila"
12023462,87834,"Hon, Priscilla"
12023465,58267,"Radanović, Dejana"
12023470,376006,"Joint, Maya"
12024039,158896,"Hurkacz, Hubert"
12024041,158896,"Hurkacz, Hubert"
12024042,342835,"Kasnikowski, Maks"
12024043,342835,"Kasnikowski, Maks"
12024064,293868,"Kudermetova, Polina"
12024149,327924,"Eala, Alexandra"
12024226,288465,"Tabacco, Fausto"
12024231,59281,"Nishioka, Yoshihito"
12024232,59281,"Nishioka, Yoshihito"
12024234,157302,"Watanuki, Yosuke"
12024235,157302,"Watanuki, Yosuke"
12024236,126402,"Denolly, Corentin"
12024239,157462,"Flores, Jesse"
12024243,329533,"Vilicich, Bautista"
12024245,311586,"Agafonov, Egor"
12024248,165198,"Oetzbach, Adrian"
12024249,330085,"Popovic, Stefan"
12024252,107429,"Turati, Anna"
12024254,202572,"Gengel, Marek"
12024307,412849,"Dencheva, Rositsa"
12024308,177686,"Barranco Cosano, Javier"
12024355,115463,"Tiurnev, Evgenii"
12024356,296802,"Visker, Niels"
12024365,215205,"Zhu, Michael"
12024368,145112,"Huesler, Marc-Andrea"
12024369,321788,"Riedi, Leandro"
12024371,289156,"Zucchini, Arianna"
12024386,26203,"Gomez, Emilio"
12024387,269909,"Guillen Meza, Alvaro"
12024388,26203,"Gomez, Emilio"
12024389,269909,"Guillen Meza, Alvaro"
12024430,342875,"Pavlova, Kira"
12024431,158636,"Prisăcariu, Andreea"
12024435,280837,"Inoue, Hina"
12024440,63220,"Ponchet, Jessika"
12024489,290001,"Iordache, Alexandra"
12024512,302582,"Heide, Gustavo"
12024513,47603,"Monteiro, Thiago"
12024514,47603,"Monteiro, Thiago"
12024550,232459,"Hindova, Denisa"
12024556,46391,"Struff, Jan-Lennard"
12024557,129368,"Koepfer, Dominik"
12024559,46391,"Struff, Jan-Lennard"
12024572,236833,"Romero Gormaz, Leyre"
12024613,163636,"Klein, Lukas"
12024614,145130,"Molcan, Alex"
12024617,145130,"Molcan, Alex"
12024628,238867,"Ovcharenko, Oleksandr"
12024632,350691,"Szajrych, Jasza"
12024637,263699,"Strombachs, Robert"
12024640,236825,"Rocens, Martins"
12024642,197516,"Eubanks, Christopher"
12024643,197516,"Eubanks, Christopher"
12024644,199408,"Jorge, Francisca"
12024645,100097,"Moroni, Gian Marco"
12024652,351300,"Pawelski, Martyn"
12024769,267576,"Bouquier, Arthur"
12024782,277187,"Abbagnato, Anastasia"
12024794,64315,"Kuwata, Hiroko"
12024837,37785,"Sousa, Joao"
12024840,125006,"Borges, Nuno"
12024913,348712,"Radivojevic, Lola"
12024934,225273,"Rodesch, Chris"
12024935,201885,"Knaff, Alex"
12025016,130624,"Gasanova, Anastasia"
12025030,92442,"Fett, Jana"
12025044,399603,"Romano, Filippo"
12025056,75281,"Peterson, Rebecca"
12025057,275105,"Bouzas Maneiro, Jessica"
12025061,94747,"Hoang, Antoine"
12025067,275530,"Jacquemot, Elsa"
12025085,230344,"Oberleitner, Neil"
12025133,111879,"Fung, Stacey"
12025138,97977,"Hong, Seong Chan"
12025139,97647,"Kwon, Soonwoo"
12025142,297368,"Montgomery, Robin"
12025144,168526,"Appleton, Emily"
12025149,51315,"Anderson, Robin"
12025174,248326,"Baptiste, Hailey"
12025672,241718,"Erel, Yanki"
12025679,87834,"Hon, Priscilla"
12025684,15894,"Mannarino, Adrian"
12025685,335102,"Van Assche, Luca"
12025687,96859,"Lock, Benjamin"
12025690,155860,"Lock, Courtney John"
12025752,406665,"Saito, Sara"
12025799,53183,"Ilkel, Cem"
12025849,221362,"Monnet, Carole"
12026470,293868,"Kudermetova, Polina"
12026623,338890,"Merida Aguilar, Daniel"
12026792,202572,"Gengel, Marek"
12026797,179262,"Liaonenka, Aliaksandr"
12026852,135786,"Benchetrit, Elliot"
12026853,323244,"Dlimi, Yassine"
12026855,52244,"Balaji N., Sriram"
12026857,58877,"Ramanathan, Ramkumar"
12026875,258324,"Purtseladze, Saba"
12026878,228739,"Tkemaladze, Zura"
12026987,126402,"Denolly, Corentin"
12027048,100097,"Moroni, Gian Marco"
12027058,63090,"Fatic, Nerman"
12027148,158636,"Prisăcariu, Andreea"
12027491,329533,"Vilicich, Bautista"
12027494,274685,"Toth, Amarissa Kiara"
12027516,238735,"M Rifqi, Fitriadi"
12027535,43748,"Thiem, Dominic"
12027539,383652,"Pridankina, Elena"
12027541,170946,"Bergs, Zizou"
12027547,48318,"Martincova, Tereza"
12027611,342875,"Pavlova, Kira"
12027640,318575,"Shnaider, Diana"
12027641,197535,"Hontama, Mai"
12027643,99131,"Bucsa, Cristina"
12027644,247791,"Parry, Diane"
12027645,58515,"Collins, Danielle"
12027646,40994,"Saville, Daria"
12027647,306421,"Fruhvirtova, Linda"
12027648,311012,"Krueger, Ashlyn"
12027649,41404,"Watson, Heather"
12027652,67757,"Pera, Bernarda"
12027653,303360,"Falei, Aliona"
12027654,45545,"Putintseva, Yulia"
12027665,273308,"Nitture, Akanksha Dileep"
12027666,272473,"Bhamidipaty, Shrivalli Rashmikaa"
12027667,302007,"Chaudhari, Vaidehi"
12027668,52388,"Hesse, Amandine"
12027669,195315,"Glushko, Lina"
12027672,405545,"Tsao, Chia Yi"
12027673,231208,"Park, Sohyun"
12027674,250934,"Sakellaridi, Sapfo"
12027677,71284,"Bains, Naiktha"
12027678,51651,"Rosatello, Camilla"
12027679,46528,"Perrin, Conny"
12027680,47985,"Marcinkevica, Diana"
12027906,50901,"Popko, Dmitry"
12027950,275105,"Bouzas Maneiro, Jessica"
12027973,227014,"Siskova, Anna"
12027974,49171,"Parrizas Diaz, Nuria"
12027975,447324,"Gae, Mara"
12027978,160364,"Ghioroaie, Ylona-Georgiana"
12027980,90814,"Teichmann, Jil"
12027981,129534,"Hrunčákova, Viktória"
12027982,207593,"Brancaccio, Nuria"
12027984,195334,"Zavatska, Katarina"
12028119,136042,"Fritz, Taylor"
12028146,399603,"Romano, Filippo"
12028542,377363,"Serafini, Marcello"
12029395,72230,"Celikbilek, Altug"
12029656,18298,"Zvonareva, Vera"
12029664,197535,"Hontama, Mai"
12037643,47810,"Khromacheva, Irina"
12038557,108709,"Majchrzak, Kamil"
12038644,168420,"Andrade, Andres"
12038683,478938,"Samsonova, Laura"
12038684,289156,"Zucchini, Arianna"
12038726,115463,"Tiurnev, Evgenii"
12039412,129368,"Koepfer, Dominik"
11998452,273680,Flavio Cobolli
11998453,192013,"Auger-Aliassime, Felix"
11998454,131442,"Mmoh, Michael"
11998456,163480,"Bublik, Alexander"
11998457,64580,"Ćorić, Borna"
11998458,163480,"Bublik, Alexander"
11998663,58369,"Bolt, Alex"
11998664,46390,"Uchiyama, Yasutaka"
11998673,66874,"Imai, Shintaro"
11998775,334293,"Quinn, Ethan"
11998776,36595,"Kudla, Denis"
11998777,63642,"Kwiatkowski, Thai-Son"
11998778,210490,"Kypson, Patrick"
11998779,290569,"Vandecasteele, Quinn"
11998781,210490,"Kypson, Patrick"
11999006,235576,"Nakashima, Brandon"
11999008,235576,"Nakashima, Brandon"
11999014,51345,"Damm Jr, Martin"
11999015,197446,"Naw, Hazem"
11999016,235576,"Nakashima, Brandon"
11999018,36300,"Travaglia, Stefano"
11999019,209103,"Molleker, Rudolf"
11999206,264978,"Pucinelli de Almeida, Matheus"
11999207,69500,"Mager, Gianluca"
11999208,76515,"Gakhov, Ivan"
11999214,196122,"Ugo Carabelli, Camilo"
11999216,196122,"Ugo Carabelli, Camilo"
11999217,264978,"Pucinelli de Almeida, Matheus"
12002059,172590,"Burrage, Jodie"
12002060,256104,"Volynets, Katie"
12002061,19546,"Pavlyuchenkova, Anastasia"
12002065,50641,"Vekić, Donna"
12002066,227431,"Wang, Xinyu"
12002067,45584,"Zhu, Lin"
12002068,67759,"Alexandrova, Ekaterina"
12002069,45584,"Zhu, Lin"
12002070,19546,"Pavlyuchenkova, Anastasia"
12002072,67759,"Alexandrova, Ekaterina"
12002073,67759,"Alexandrova, Ekaterina"
12021514,136042,"Fritz, Taylor"
12021515,195840,"Korda, Sebastian"
12023349,420969,"Kriznik, Matic"
12023351,384145,"Dominko, Sebastian"
12023355,156826,"van Wyk, Kris"
12023356,238147,"Henning, Philip"
12023358,53183,"Ilkel, Cem"
12023359,241718,"Erel, Yanki"
12024039,158896,"Hurkacz, Hubert"
12024042,342835,"Kasnikowski, Maks"
12024226,288465,"Tabacco, Fausto"
12024231,59281,"Nishioka, Yoshihito"
12024234,157302,"Watanuki, Yosuke"
12024239,157462,"Flores, Jesse"
12024241,157462,"Flores, Jesse"
12024245,311586,"Agafonov, Egor"
12024355,115463,"Tiurnev, Evgenii"
12024365,215205,"Zhu, Michael"
12024366,321788,"Riedi, Leandro"
12024367,145112,"Huesler, Marc-Andrea"
12024368,145112,"Huesler, Marc-Andrea"
12024369,321788,"Riedi, Leandro"
12024371,289156,"Zucchini, Arianna"
12024386,26203,"Gomez, Emilio"
12024388,26203,"Gomez, Emilio"
12024389,269909,"Guillen Meza, Alvaro"
12024435,280837,"Inoue, Hina"
12024489,290001,"Iordache, Alexandra"
12024511,302582,"Heide, Gustavo"
12024512,302582,"Heide, Gustavo"
12024513,47603,"Monteiro, Thiago"
12024514,47603,"Monteiro, Thiago"
12024556,46391,"Struff, Jan-Lennard"
12024557,129368,"Koepfer, Dominik"
12024558,129368,"Koepfer, Dominik"
12024559,46391,"Struff, Jan-Lennard"
12024613,163636,"Klein, Lukas"
12024614,145130,"Molcan, Alex"
12024616,163636,"Klein, Lukas"
12024617,145130,"Molcan, Alex"
12024637,263699,"Strombachs, Robert"
12024638,263699,"Strombachs, Robert"
12024639,236825,"Rocens, Martins"
12024640,236825,"Rocens, Martins"
12024642,197516,"Eubanks, Christopher"
12024644,199408,"Jorge, Francisca"
12024794,64315,"Kuwata, Hiroko"
12024836,37785,"Sousa, Joao"
12024837,37785,"Sousa, Joao"
12024839,125006,"Borges, Nuno"
12024840,125006,"Borges, Nuno"
12024934,225273,"Rodesch, Chris"
12024935,201885,"Knaff, Alex"
12024936,201885,"Knaff, Alex"
12024938,225273,"Rodesch, Chris"
12025044,399603,"Romano, Filippo"
12025057,275105,"Bouzas Maneiro, Jessica"
12025061,94747,"Hoang, Antoine"
12025067,275530,"Jacquemot, Elsa"
12025085,230344,"Oberleitner, Neil"
12025133,111879,"Fung, Stacey"
12025136,97647,"Kwon, Soonwoo"
12025137,97977,"Hong, Seong Chan"
12025138,97977,"Hong, Seong Chan"
12025139,97647,"Kwon, Soonwoo"
12025142,297368,"Montgomery, Robin"
12025144,168526,"Appleton, Emily"
12025149,51315,"Anderson, Robin"
12025174,248326,"Baptiste, Hailey"
12025679,87834,"Hon, Priscilla"
12025682,335102,"Van Assche, Luca"
12025683,15894,"Mannarino, Adrian"
12025684,15894,"Mannarino, Adrian"
12025685,335102,"Van Assche, Luca"
12025687,96859,"Lock, Benjamin"
12025688,155860,"Lock, Courtney John"
12025689,96859,"Lock, Benjamin"
12025690,155860,"Lock, Courtney John"
12025752,406665,"Saito, Sara"
12025799,53183,"Ilkel, Cem"
12025849,221362,"Monnet, Carole"
12026470,293868,"Kudermetova, Polina"
12026623,338890,"Merida Aguilar, Daniel"
12026792,202572,"Gengel, Marek"
12026797,179262,"Liaonenka, Aliaksandr"
12026852,135786,"Benchetrit, Elliot"
12026853,323244,"Dlimi, Yassine"
12026854,58877,"Ramanathan, Ramkumar"
12026855,52244,"Balaji N., Sriram"
12026856,323244,"Dlimi, Yassine"
12026857,58877,"Ramanathan, Ramkumar"
12026858,135786,"Benchetrit, Elliot"
12026859,52244,"Balaji N., Sriram"
12026875,258324,"Purtseladze, Saba"
12026877,258324,"Purtseladze, Saba"
12026878,228739,"Tkemaladze, Zura"
12026987,126402,"Denolly, Corentin"
12027048,100097,"Moroni, Gian Marco"
12027054,49172,"Dzumhur, Damir"
12027058,63090,"Fatic, Nerman"
12027059,49172,"Dzumhur, Damir"
12027148,158636,"Prisăcariu, Andreea"
12027227,195179,"Oliel, Yshai"
12027230,195179,"Oliel, Yshai"
12027231,124708,"Cukierman, Daniel"
12027491,329533,"Vilicich, Bautista"
12027494,274685,"Toth, Amarissa Kiara"
12027516,238735,"M Rifqi, Fitriadi"
12027517,238735,"M Rifqi, Fitriadi"
12027531,83397,"Ofner, Sebastian"
12027533,83397,"Ofner, Sebastian"
12027535,43748,"Thiem, Dominic"
12027539,383652,"Pridankina, Elena"
12027541,170946,"Bergs, Zizou"
12027545,45258,"de Loore, Joris"
12027547,48318,"Martincova, Tereza"
12027611,342875,"Pavlova, Kira"
12027640,318575,"Shnaider, Diana"
12027641,197535,"Hontama, Mai"
12027643,99131,"Bucsa, Cristina"
12027644,247791,"Parry, Diane"
12027645,58515,"Collins, Danielle"
12027646,40994,"Saville, Daria"
12027647,306421,"Fruhvirtova, Linda"
12027648,311012,"Krueger, Ashlyn"
12027649,41404,"Watson, Heather"
12027652,67757,"Pera, Bernarda"
12027653,303360,"Falei, Aliona"
12027654,45545,"Putintseva, Yulia"
12027665,273308,"Nitture, Akanksha Dileep"
12027666,272473,"Bhamidipaty, Shrivalli Rashmikaa"
12027667,302007,"Chaudhari, Vaidehi"
12027668,52388,"Hesse, Amandine"
12027669,195315,"Glushko, Lina"
12027672,405545,"Tsao, Chia Yi"
