match_id,slug
12116344,semifinals
12116371,semifinals
12116372,semifinals
12116452,semifinals
12116545,semifinals
12116672,semifinals
12116699,semifinals
12116719,final
12116878,semifinals
12117362,semifinals
12117459,quarterfinals
12117464,semifinals
12117465,semifinals
12117498,semifinals
12117499,semifinals
12117623,semifinals
12117624,semifinals
12117656,semifinals
12117667,semifinals
12117691,final
12117823,semifinals
12117874,semifinals
12117901,semifinals
12117970,semifinals
12117997,semifinals
12118220,quarterfinals
12118243,semifinals
12118244,semifinals
12118435,semifinals
12118510,semifinals
12118601,semifinals
12118602,semifinals
12118818,final
12118853,semifinals
12118895,semifinals
12118939,semifinals
12119028,semifinals
12119277,semifinals
12119305,semifinals
12119356,semifinals
12119359,semifinals
12119796,semifinals
12119917,final
12119930,final
12119931,final
12119953,final
12119954,final
12120358,final
12120372,final
12120399,final
12120445,final
12120451,final
12120452,final
12120483,final
12120502,semifinals
12120591,final
12120739,semifinals
12120744,final
12120767,final
12120846,final
12121109,final
12121110,qualification-round-1
12121111,qualification-round-1
12121118,qualification-round-1
12121119,qualification-round-1
12121120,qualification-round-1
12121121,qualification-round-1
12121122,qualification-round-1
12121123,qualification-round-1
12121124,qualification-round-1
12121125,qualification-round-1
12121126,qualification-round-1
12121127,qualification-round-1
12121161,final
12121264,qualification-round-1
12121550,qualification-round-1
12121553,qualification-round-1
12121587,qualification-round-1
12121588,qualification-round-1
12121593,qualification-round-1
12121817,qualification-round-1
12121818,qualification-round-1
12121819,qualification-round-1
12122733,qualification-round-1
12122821,qualification-round-1
12087276,semifinals
12087284,semifinals
12087304,semifinals
12087308,final
12087313,final
12087317,semifinals
12087898,final
12087920,final
12087938,semifinals
12087945,final
12087950,semifinals
12088017,semifinals
12088026,semifinals
12088030,final
12088052,final
12088068,final
12088076,semifinals
12088077,semifinals
12088086,final
12117901,semifinals
12118435,semifinals
12118510,semifinals
12118601,semifinals
12118602,semifinals
12118818,final
12118895,semifinals
12118939,semifinals
12119028,semifinals
12119277,semifinals
12119305,semifinals
12119356,semifinals
12119359,semifinals
12119796,semifinals
12119917,final
12119930,final
12119931,final
12119953,final
12119954,final
12120358,final
12120372,final
12120399,final
12120445,final
12120451,final
12120452,final
12120483,final
12120502,semifinals
12120591,final
12120739,semifinals
12120744,final
12120767,final
12120846,final
12121109,final
12121110,qualification-round-1
12121111,qualification-round-1
12121118,qualification-round-1
12121119,qualification-round-1
12121120,qualification-round-1
12121121,qualification-round-1
12121122,qualification-round-1
12121123,qualification-round-1
12121124,qualification-round-1
12121125,qualification-round-1
12121126,qualification-round-1
12121127,qualification-round-1
12121161,final
12121264,qualification-round-1
12121550,qualification-round-1
12121551,qualification-round-1
12121553,qualification-round-1
12121554,qualification-round-1
12121555,qualification-round-1
12121587,qualification-round-1
12121588,qualification-round-1
12121589,qualification-round-1
12121590,qualification-round-1
12121591,qualification-round-1
12121592,qualification-round-1
12121593,qualification-round-1
12121596,round-of-32
12121599,round-of-32
12121600,round-of-32
12121602,round-of-32
12121806,qualification-round-1
12121807,qualification-round-1
12121808,qualification-round-1
12121809,qualification-round-1
12121810,qualification-round-1
12121811,qualification-round-1
12121812,qualification-round-1
12121817,qualification-round-1
12121818,qualification-round-1
12121819,qualification-round-1
12121826,qualification-round-1
