player_id,plays
45902,right-handed
91960,right-handed
60392,right-handed
410065,
71034,right-handed
124804,right-handed
230984,
82609,right-handed
58267,
198209,right-handed
25831,right-handed
459474,
196050,
157672,right-handed
188555,right-handed
193083,
50915,right-handed
221012,right-handed
199408,
183861,right-handed
338897,
18808,right-handed
53789,right-handed
46661,right-handed
246159,right-handed
336222,right-handed
390231,
154570,right-handed
267576,
94747,right-handed
244410,right-handed
274049,right-handed
41524,right-handed
338897,
332584,
306078,
154744,
387966,
212809,right-handed
205795,right-handed
64580,right-handed
248846,right-handed
283070,right-handed
264344,right-handed
283070,right-handed
192013,right-handed
79467,left-handed
58369,left-handed
79467,left-handed
36595,right-handed
36678,right-handed
334293,
39711,right-handed
39711,right-handed
232057,right-handed
300293,right-handed
197446,right-handed
36300,right-handed
132558,right-handed
200159,left-handed
200159,left-handed
200159,left-handed
144102,right-handed
54573,right-handed
298057,left-handed
377489,
298057,left-handed
54573,right-handed
64496,right-handed
52025,right-handed
78551,right-handed
206568,right-handed
318575,left-handed
52025,right-handed
210831,right-handed
318575,left-handed
64496,right-handed
50641,right-handed
64496,right-handed
232615,right-handed
339443,
450685,
75813,right-handed
81041,right-handed
138966,right-handed
17046,right-handed
257637,right-handed
149100,right-handed
198223,right-handed
212809,right-handed
108767,right-handed
189540,right-handed
153826,right-handed
153826,right-handed
172482,left-handed
172482,left-handed
217835,right-handed
369288,
122368,right-handed
102339,right-handed
122368,right-handed
102339,right-handed
333518,
329816,
42029,right-handed
329816,
478938,
387966,
152726,right-handed
83661,right-handed
83661,right-handed
152726,right-handed
47770,right-handed
218259,right-handed
47770,right-handed
218259,right-handed
198592,right-handed
39234,right-handed
39234,right-handed
198592,right-handed
96239,right-handed
119248,right-handed
96239,right-handed
119248,right-handed
232615,right-handed
336308,
154744,
229218,right-handed
167370,right-handed
167370,right-handed
229218,right-handed
187218,right-handed
217437,right-handed
187218,right-handed
217437,right-handed
197546,
19957,right-handed
326524,right-handed
64968,right-handed
377363,
51836,right-handed
51836,right-handed
377065,right-handed
16779,right-handed
280151,right-handed
16779,right-handed
280151,right-handed
233214,
165866,right-handed
141892,right-handed
248329,
138452,right-handed
163996,right-handed
204329,right-handed
163996,right-handed
204329,right-handed
162638,
162638,
289106,
289106,
297194,
244410,right-handed
52533,right-handed
327924,left-handed
177686,left-handed
326246,
351300,
182875,
105375,right-handed
17600,right-handed
17600,right-handed
182875,
105375,right-handed
322022,
22956,right-handed
22956,right-handed
118040,right-handed
165198,right-handed
51009,right-handed
51009,right-handed
331896,
412849,
372312,
254742,right-handed
254742,right-handed
213076,right-handed
284553,
414229,
200852,right-handed
414229,
234309,
15387,right-handed
207081,right-handed
63220,right-handed
100341,left-handed
274049,right-handed
105463,right-handed
425590,
103375,right-handed
45139,right-handed
110055,right-handed
123824,right-handed
45902,right-handed
91960,right-handed
60392,right-handed
410065,
71034,right-handed
124804,right-handed
230984,
82609,right-handed
58267,
198209,right-handed
25831,right-handed
459474,
196050,
157672,right-handed
188555,right-handed
193083,
50915,right-handed
330492,right-handed
122366,right-handed
122366,right-handed
169496,right-handed
221012,right-handed
392072,
82133,right-handed
452586,
240797,left-handed
199408,
326949,
183861,right-handed
338897,
18808,right-handed
198197,right-handed
46650,
53789,right-handed
150574,right-handed
46661,right-handed
246159,right-handed
336222,right-handed
390231,
64968,right-handed
102151,left-handed
89632,right-handed
154570,right-handed
303122,
202136,right-handed
267576,
80491,right-handed
386107,
51315,right-handed
94747,right-handed
233214,
66086,right-handed
38183,left-handed
308084,right-handed
55787,right-handed
287181,right-handed
175014,left-handed
221515,right-handed
43761,left-handed
406665,right-handed
244410,right-handed
274049,right-handed
41524,right-handed
390973,
276809,
322021,
136372,
253353,
138452,right-handed
333770,
37638,
391100,
216008,
338897,
244418,right-handed
396118,
244985,
236795,
192256,right-handed
270399,right-handed
50148,right-handed
215663,right-handed
248232,right-handed
197935,
255992,left-handed
272473,
202572,right-handed
332584,
100341,left-handed
230984,
195315,right-handed
52533,right-handed
302007,
306078,
100097,right-handed
274685,
154744,
387966,
329533,
212809,right-handed
197535,right-handed
183861,right-handed
157672,right-handed
215205,right-handed
269291,right-handed
111857,right-handed
378554,
192272,right-handed
181384,right-handed
76251,right-handed
60584,right-handed
156826,
339989,
244416,right-handed
284517,right-handed
97231,right-handed
306421,right-handed
110055,right-handed
274049,right-handed
60392,right-handed
405545,
199661,right-handed
71034,right-handed
94747,right-handed
289156,
165234,right-handed
18808,right-handed
53789,right-handed
336222,right-handed
205795,right-handed
41404,right-handed
150574,right-handed
414969,
339767,right-handed
395238,
214009,
379483,
407382,
317520,
392652,
351301,
244421,right-handed
329533,
222977,
107429,
288841,
341859,
252750,right-handed
341203,
263720,
191637,right-handed
248227,
298800,
132412,right-handed
248446,
261714,
25822,
299618,
376421,
412849,
49638,right-handed
394626,
275069,
278083,
20158,right-handed
229887,
205795,right-handed
115463,right-handed
198197,right-handed
165866,right-handed
257517,
227434,right-handed
396821,
390946,
189604,
420914,
340528,
277721,
274033,
350691,
247858,
326110,
238867,right-handed
425525,
308287,
342249,
207083,right-handed
230339,
217838,
254264,
215722,
337458,
157706,
372053,left-handed
274747,
233694,right-handed
213927,
289166,right-handed
288583,
161270,
377406,
44553,right-handed
205906,left-handed
25838,right-handed
226805,right-handed
51345,left-handed
308249,
405556,
394384,
