player_id,full_name,current_rank,total_prize,country
479888,"Ionescu, Elizabeth",1077,1160,USA
111879,"Fung, Stacey",222,106528,Canada
98607,"Chang, Sophie",359,336571,USA
408819,"Osuigwe, Victoria",709,10399,USA
248326,"Baptiste, Hailey",106,751678,USA
406665,"Saito, Sara",244,32142,Japan
134532,"You, Xiaodi",224,361321,China
390973,"Kuramochi, Miho",399,25343,Japan
321792,"Banks, Amarni",305,28628,United Kingdom
216008,"Popovic, Ivana",460,103516,Australia
147506,"Fourlis, Jaimee",262,777155,Australia
231597,"Imamura, Saki",451,36731,Japan
327924,"Eala, Alexandra",180,164692,Philippines
455710,"Plunger, Manuel",1318,2295,Italy
100317,"Turker, Mert Naci",1484,26103,Turkey
58267,"Radanović, Dejana",243,168702,Serbia
107429,"Turati, Anna",570,56528,Italy
118058,"Demidova, Diana",701,29500,Russia
71284,"Bains, Naiktha",453,381529,United Kingdom
47985,"Marcinkevica, Diana",312,295189,Latvia
293868,"Kudermetova, Polina",158,219618,Russia
108563,"Perez Contri, Sergi",518,48768,Spain
126402,"Denolly, Corentin",442,172245,France
288465,"Tabacco, Fausto",494,33824,Italy
232660,"Ševčíková, Linda",1025,16168,Czech Republic
81275,"Gutierrez, Oscar Jose",892,118937,Brazil
330085,"Popovic, Stefan",536,26127,Serbia
93589,"Kellovský, Dominik",741,61432,Czech Republic
136042,"Fritz, Taylor",10,12361348,USA
195840,"Korda, Sebastian",33,3879071,USA
280837,"Inoue, Hina",480,37736,USA
296802,"Visker, Niels",672,19439,Netherlands
154744,"Lee, Eunhye",716,27063,South Korea
400489,"Tsitsipas, Pavlos",1240,2510,Greece
63220,"Ponchet, Jessika",146,792143,France
222183,"Saigo, Rina",401,52530,Japan
100341,"Bolkvadze, Mariam",363,391172,Georgia
36300,"Travaglia, Stefano",188,1965020,Italy
234320,"Aikawa, Mayuka",589,34366,Japan
64315,"Kuwata, Hiroko",532,297974,Japan
243962,"Galimardanov, Oscar",1432,2767,Russia
158636,"Prisăcariu, Andreea",319,85439,Romania
114885,"Nikles, Johan",1023,113904,Switzerland
190208,"Portillo Ramirez, Maria Jose",662,49977,Mexico
16192,"Marchenko, Illya",226,2026352,Ukraine
354634,"Palicova, Barbora",324,160820,Czech Republic
100097,"Moroni, Gian Marco",645,296139,Italy
412849,"Dencheva, Rositsa",875,4720,Bulgaria
165198,"Oetzbach, Adrian",558,30177,Germany
92442,"Fett, Jana",182,653584,Croatia
369288,"Tabacco, Giorgio",708,28038,Italy
237568,"Bartone, Kamilla",752,30613,Latvia
202572,"Gengel, Marek",577,151141,Czech Republic
297953,"Klimovicova, Linda",342,32426,Czech Republic
394380,"Eriksson, Sebastian",1334,4136,Sweden
340742,"Bertrand, Robin",445,54472,France
460257,"Ghazouani Durand, Yanis",1053,4583,France
177686,"Barranco Cosano, Javier",300,184133,Spain
387966,"Munk Mortensen, Rebecca",616,9678,Denmark
217883,"Decamps, Gabriel",688,46389,Brazil
382361,"Kukasian, Artur",1160,2430,Russia
351300,"Pawelski, Martyn",516,22111,Poland
348712,"Radivojevic, Lola",331,47982,Serbia
207654,"Tubello, Alice",606,58858,France
290001,"Iordache, Alexandra",1109,14598,Romania
199408,"Jorge, Francisca",199,128973,Portugal
